Date,Pair_Score,ML_Convergence_Prob,Reg_Prediction,Sentiment_Score,Target
2023-05-30,0,0.5333932568847217,1.9067609654625508e-05,3.5,0
2023-05-31,0,0.33819424579829693,1.9067609654625508e-05,3.5,0
2023-06-01,0,0.35115205181946973,1.9067609654625508e-05,3.5,0
2023-06-02,0,0.49555081215578894,1.9067609654625508e-05,3.5,0
2023-06-05,0,0.30151942093278233,1.9067609654625508e-05,3.5,0
2023-06-06,0,0.43404423848713486,1.9067609654625508e-05,3.5,0
2023-06-07,0,0.6635769503375124,1.9067609654625508e-05,3.5,0
2023-06-08,0,0.48807727276350144,1.9067609654625508e-05,3.5,0
2023-06-09,0,0.37020250826790607,1.9067609654625508e-05,3.5,0
2023-06-12,0,0.38721858423182887,1.9067609654625508e-05,3.5,0
2023-06-13,0,0.34755657240731996,1.9067609654625508e-05,3.5,0
2023-06-14,0,0.379950031477866,1.9067609654625508e-05,3.5,0
2023-06-15,0,0.31447393614059677,1.9067609654625508e-05,3.5,0
2023-06-16,0,0.3998010925895044,1.9067609654625508e-05,3.5,0
2023-06-20,0,0.4039000668931687,1.9067609654625508e-05,3.5,0
2023-06-21,0,0.38324996204961564,1.9067609654625508e-05,3.5,0
2023-06-22,0,0.43619289595581,1.9067609654625508e-05,3.5,0
2023-06-23,0,0.2907368008888191,1.9067609654625508e-05,3.5,0
2023-06-26,0,0.4961934165577751,1.9067609654625508e-05,3.5,0
2023-06-27,0,0.5287533430653222,1.9067609654625508e-05,3.5,0
2023-06-28,0,0.3665175648220854,1.9067609654625508e-05,3.5,0
2023-06-29,0,0.4056746855311815,1.9067609654625508e-05,3.5,0
2023-06-30,0,0.49048757309242447,1.9067609654625508e-05,3.5,0
2023-07-03,0,0.5252443614582124,1.9067609654625508e-05,3.5,0
2023-07-05,0,0.4426679908678634,1.9067609654625508e-05,3.5,0
2023-07-06,0,0.5627689134044478,1.9067609654625508e-05,3.5,0
2023-07-07,0,0.54193480011889,1.9067609654625508e-05,3.5,0
2023-07-10,0,0.5625603278303288,1.9067609654625508e-05,3.5,0
2023-07-11,0,0.3099605594616493,1.9067609654625508e-05,3.5,0
2023-07-12,0,0.4891866481965516,1.9067609654625508e-05,3.5,0
2023-07-13,0,0.3975453272864533,1.9067609654625508e-05,3.5,0
